params,nfilters,loss,optim,model,val_loss,val_acc
411905.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=576, out_features=256, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=256, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.1049426719546318,0.8671875
411905.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=576, out_features=256, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=256, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.10003887861967087,0.876269519329071
411905.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","LCN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d_Local()    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=256, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.09743458777666092,0.880664050579071
411905.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","LCN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d_Local()    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=256, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.105950728058815,0.8685547113418579
936193.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","CNN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d(1, 256, kernel_size=(24, 24), stride=(8, 8))    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=768, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.08980396389961243,0.8915039300918579
1526529.0,768,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=960, out_features=768, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=768, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.1309715211391449,0.835156261920929
510209.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=960, out_features=256, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=256, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.18848925828933716,0.7274414300918579
1231617.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","LCN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d_Local()    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=768, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.08787601441144943,0.89501953125
1460481.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","CNN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d(1, 256, kernel_size=(24, 24), stride=(8, 8))    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=1280, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.08720999211072922,0.8935546875
3034369.0,1280,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=1344, out_features=1280, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=1280, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.18162795901298523,0.761914074420929
608513.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=1344, out_features=256, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=256, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.2483401745557785,0.52197265625
2051329.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","LCN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d_Local()    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=1280, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.09504065662622452,0.88720703125
3738625.0,1024,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 5e-05    weight_decay: 0)","CNN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d(1, 1024, kernel_size=(24, 24), stride=(8, 8))    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=3072, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.07773857563734055,0.9037699103355408
5835777.0,1024,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 5e-05    weight_decay: 0)","CNN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d(1, 1024, kernel_size=(24, 24), stride=(8, 8))    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=5120, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.10302350670099258,0.8648611307144165
595969.0,1024,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0001    weight_decay: 0)","CNN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d(1, 1024, kernel_size=(24, 24), stride=(8, 8))    (1): ReLU(inplace=True)  )  (decoder): Linear(in_features=5120, out_features=1, bias=True))",0.23216475546360016,0.6690278053283691
4606209.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","CNN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d(1, 256, kernel_size=(24, 24), stride=(8, 8))    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=4352, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.18648472428321838,0.7764648795127869
6099969.0,3072,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 5e-05    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=960, out_features=3072, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=3072, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.21754692494869232,0.610119104385376
12131329.0,5120,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 5e-05    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=1344, out_features=5120, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=5120, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.5254166722297668,0.47458335757255554
6891521.0,5120,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0001    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=1344, out_features=5120, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Linear(in_features=5120, out_features=1, bias=True))",0.5254166722297668,0.47458335757255554
2034689.0,1024,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 5e-05    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=960, out_features=1024, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=1024, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.2565152049064636,0.5272817611694336
2427905.0,1024,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 5e-05    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=1344, out_features=1024, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=1024, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.24145612120628357,0.5215277671813965
1378305.0,1024,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0001    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=1344, out_features=1024, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Linear(in_features=1024, out_features=1, bias=True))",0.5254166722297668,0.47458335757255554
4920321.0,1024,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 5e-05    weight_decay: 0)","LCN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d_Local()    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=3072, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.10510315001010895,0.8640873432159424
8199169.0,1024,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 5e-05    weight_decay: 0)","LCN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d_Local()    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=5120, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.5254166722297668,0.47458335757255554
2959361.0,1024,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0001    weight_decay: 0)","LCN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d_Local()    (1): ReLU(inplace=True)  )  (decoder): Linear(in_features=5120, out_features=1, bias=True))",0.47458335757255554,0.5254166722297668
